Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
NCAA Football 07,PS2,2006,Sports,Electronic Arts,1.41,0.05,0,0.23,87,18,8.6,23,EA Sports,E
The Sims 3: Late Night Expansion Pack,PC,2010,Simulation,Electronic Arts,0.59,0.87,0,0.23,74,17,5.3,77,The Sims Studio,T
No Man's Sky,PS4,2016,Action,Hello Games,0.63,0.76,0.03,0.27,71,94,4.5,5096,Hello Games,T
Ben 10: Protector of Earth,DS,2007,Action,D3Publisher,0.68,0.82,0,0.19,,,,,,
Cabela's Big Game Hunter 2010,Wii,2009,Sports,Activision Value,1.58,0,0,0.12,,,7.8,4,Activision,T
SOCOM 3: U.S. Navy SEALs,PS2,2005,Shooter,Sony Computer Entertainment,1.22,0.34,0.04,0.1,82,59,8.8,64,Zipper Interactive,M
BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive,0.72,0.65,0.04,0.28,94,27,8.5,1863,Irrational Games,M
Jampack Winter '99,PS,1999,Misc,Sony Computer Entertainment,0.94,0.64,0,0.11,,,,,,
Call of Duty: Black Ops 3,PS3,2015,Shooter,Activision,0.49,0.87,0.07,0.26,,,,,,
WCW vs. nWo: World Tour,N64,1997,Fighting,THQ,1.37,0.28,0.03,0.02,,,,,,
WCW/NWO Thunder,PS,1998,Fighting,THQ,1.1,0.48,0.04,0.07,,,,,,
Harry Potter and the Sorcerer's Stone,GBA,2001,Action,Electronic Arts,0.87,0.66,0.08,0.08,64,8,7.1,7,Griptonite Games,E
Dragon Ball Z: The Legacy of Goku,GBA,2002,Role-Playing,Infogrames,1.52,0.12,0,0.05,53,15,6.9,28,Webfoot Technologies,E
Cooking Mama 3: Shop & Chop,DS,2009,Simulation,505 Games,0.79,0.65,0.08,0.17,,,,,,
Resident Evil 4,GC,2005,Action,Capcom,0.98,0.42,0.22,0.06,96,82,9.4,767,Capcom,M
Personal Trainer: Math,DS,2007,Puzzle,Nintendo,0.48,1.12,0,0.08,63,11,,,Jupiter Corporation,E
Game Party 3,Wii,2009,Puzzle,Warner Bros. Interactive Entertainment,1.4,0.16,0,0.12,37,4,,,Farsight Studios,E
Need For Speed: Undercover,X360,2008,Racing,Electronic Arts,0.79,0.7,0.01,0.18,64,62,5.9,104,EA Vancouver,T
World Championship Poker: Featuring Howard Lederer - All In,PS2,2006,Misc,Oxygen Interactive,0.82,0.64,0,0.22,,,,,,
NFL GameDay 98,PS,1997,Sports,Sony Computer Entertainment,1.58,0.06,0,0.04,,,,,,
Sonic Colors,Wii,2010,Platform,Sega,0.92,0.6,0.01,0.15,78,58,8.5,301,Sonic Team,E
Saints Row 2,PS3,2008,Action,THQ,0.88,0.54,0.02,0.25,82,50,7.9,135,Volition Inc.,M
Yoshi's Cookie,GB,1992,Puzzle,Nintendo,0.59,0.24,0.82,0.03,,,,,,
Time Crisis,PS,1997,Shooter,Namco Bandai Games,0.38,0.87,0.33,0.1,,,,,,
Sid Meier's Civilization V,PC,2010,Strategy,Take-Two Interactive,0.98,0.52,0,0.17,90,70,7.9,2280,Firaxis Games,E10+
 Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.81,0.23,0.52,0.11,,,,,,
The Sims: Superstar,PC,2003,Simulation,Electronic Arts,1.67,0,0,0,79,20,8.2,25,Maxis,T
Metroid Fusion,GBA,2002,Action,Nintendo,1.18,0.27,0.17,0.06,92,44,9.1,200,Nintendo,E
We Ski,Wii,2008,Sports,Namco Bandai Games,0.97,0.4,0.14,0.15,67,32,8.5,12,Bandai Namco Games,E
Star Wars Battlefront: Renegade Squadron,PSP,2007,Shooter,LucasArts,0.9,0.46,0,0.32,73,35,7.9,46,Rebellion,T
SSX 3,PS2,2003,Sports,Electronic Arts,0.93,0.52,0,0.22,93,41,9.1,125,EA Canada,E
Madden NFL 2001,PS,2000,Sports,Electronic Arts,1.58,0.05,0,0.04,90,14,6.8,4,EA Sports,E
Star Wars: Battlefront II,XB,2005,Shooter,Activision,1.22,0.39,0,0.06,83,40,8.9,106,Pandemic Studios,T
Disney's DuckTales,NES,1989,Platform,Capcom,0.91,0.3,0.42,0.04,,,,,,
Tony Hawk's Pro Skater 3,PS,2001,Sports,Activision,1.09,0.49,0.02,0.07,87,10,8.3,36,Shaba Games,E
"Monsters, Inc.",GBA,2001,Adventure,THQ,0.59,0.95,0.03,0.1,,,,,Artificial Mind and Movement,E
PGR: Project Gotham Racing 2,XB,2003,Racing,Microsoft Game Studios,0.97,0.59,0.04,0.07,,,,,,
Dragon Age: Origins,PS3,2009,Role-Playing,Electronic Arts,0.96,0.42,0.08,0.21,87,41,7.9,597,BioWare,M
Spy Hunter,PS2,2001,Racing,Midway Games,1.13,0.32,0,0.22,84,28,7.8,13,Paradigm Entertainment,T
NCAA Football 2004,PS2,2003,Sports,Electronic Arts,1.35,0.09,0,0.23,94,15,8.8,81,EA Sports,E
Fight Night Round 3,PS3,2006,Fighting,Electronic Arts,0.81,0.58,0.01,0.26,83,37,7.9,24,EA Chicago,T
StarCraft II: Heart of the Swarm,PC,2013,Strategy,Activision,0.83,0.66,0,0.18,86,68,7.9,1346,Blizzard Entertainment,T
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003,Platform,THQ,1.08,0.45,0,0.14,71,9,9,85,Heavy Iron Studios,E
Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,79,103,8.2,2161,SuperMassive Games,M
Big Beach Sports,Wii,2008,Sports,THQ,0.45,1.02,0,0.2,44,17,8,41,HB Studios Multimedia,E
Street Fighter II': Special Champion Edition,GEN,1992,Fighting,Sega,1,0.3,0.31,0.04,,,,,,
SSX,PS2,2000,Sports,Electronic Arts,0.78,0.61,0.06,0.2,93,35,8.3,33,EA Sports Big,E
Shaun White Snowboarding: Road Trip,Wii,2008,Sports,Ubisoft,0.93,0.56,0,0.16,78,28,8.7,22,Ubisoft,E10+
NBA Ballers,PS2,2004,Sports,Midway Games,0.81,0.63,0,0.21,83,44,9.2,19,Midway,E
Saints Row IV,X360,2013,Action,Deep Silver,1.01,0.5,0.01,0.13,81,42,6.5,325,Volition Inc.,M
NBA Live 2003,PS2,2002,Sports,Electronic Arts,1.25,0.15,0.03,0.22,83,22,8.3,28,EA Canada,E
LEGO Batman 2: DC Super Heroes,X360,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.61,0,0.15,79,59,7.2,114,TT Games,E10+
Dragon Ball Z: Budokai Tenkaichi,PS2,2005,Fighting,Atari,0.96,0.12,0.54,0.04,72,29,8.4,71,Spike,T
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,89,69,8.8,1940,From Software,M
Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0,0.02,,,,,,
Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo,0.58,0.21,0.79,0.07,77,49,8.5,156,HAL Labs,E10+
Mario Party 6,GC,2004,Misc,Nintendo,0.9,0.11,0.6,0.05,71,33,7.9,51,Hudson Soft,E
Super Scope 6,SNES,1991,Shooter,Nintendo,1.06,0.38,0.15,0.05,,,,,,
Star Wars The Clone Wars: Lightsaber Duels,Wii,2008,Action,LucasArts,1.21,0.3,0,0.14,56,24,6.7,18,Krome Studios,T
Need for Speed Carbon,X360,2006,Racing,Electronic Arts,0.76,0.69,0.02,0.18,77,52,6.3,82,EA Canada,E10+
Heavenly Sword,PS3,2007,Action,Sony Computer Entertainment,0.57,0.72,0.06,0.29,79,64,8.3,544,Ninja Theory,T
Dragon Quest V: Tenkuu no Hanayome,PS2,2004,Role-Playing,Enix Corporation,0,0,1.65,0,,,,,,
MySims,Wii,2007,Simulation,Electronic Arts,0.9,0.54,0.04,0.17,68,38,7.2,56,EA Redwood Shores,E
Kirby & the Amazing Mirror,GBA,2004,Platform,Nintendo,0.8,0.05,0.76,0.03,,,,,,
Army of Two,X360,2008,Shooter,Electronic Arts,1.09,0.37,0.02,0.16,72,76,7.6,233,EA Montreal,M
Dig Dug,2600,1982,Puzzle,Atari,1.52,0.1,0,0.02,,,,,,
Tom Clancy's Rainbow Six,PS,1999,Shooter,Red Storm Entertainment,0.93,0.63,0,0.08,,,,,,
Ghosts 'n Goblins,NES,1986,Action,Capcom,0.74,0.26,0.61,0.03,,,,,,
Tiger Woods PGA Tour 2003,PS2,2002,Sports,Electronic Arts,0.8,0.63,0,0.21,88,18,8.9,18,EA Sports,E
NBA Live 06 (All region sales),PS2,2005,Sports,Electronic Arts,1.44,0.15,0,0.05,,,,,,
Prince of Persia: Warrior Within,PS2,2004,Action,Ubisoft,0.54,0.88,0,0.22,83,51,8.5,120,Ubisoft Montreal,M
Far Cry 4,XOne,2014,Shooter,Ubisoft,0.8,0.69,0.01,0.14,82,15,7.5,383,Ubisoft Montreal,M
ESPN NFL 2K5,XB,2004,Sports,Sega,1.54,0.02,0,0.07,92,42,9.1,93,Visual Concepts,E
Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment,0.52,0.8,0.06,0.26,70,98,8.1,2652,Quantic Dream,M
Pikmin,GC,2001,Strategy,Nintendo,0.78,0.25,0.56,0.04,89,39,8.7,121,Nintendo,E
Tiger Woods PGA Tour 2004,PS2,2003,Sports,Electronic Arts,1.18,0.34,0,0.1,89,23,8.8,40,EA Sports,E
NBA 2K15,X360,2014,Sports,Take-Two Interactive,1.35,0.11,0,0.17,,,3,40,Visual Concepts,E
Call of Duty: Black Ops,PC,2007,Shooter,Activision,0.58,0.81,0,0.23,81,29,5.2,1651,Treyarch,M
Ape Escape,PS,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,90,19,8.8,53,SCEI,E
NCAA Football 2005,PS2,2004,Sports,Electronic Arts,1.32,0.09,0,0.22,88,29,8.8,35,EA Tiburon,E
Max Payne 3,X360,2012,Shooter,Take-Two Interactive,0.86,0.62,0.01,0.13,86,80,7.8,869,Rockstar Studios,M
Viva Pinata,X360,2006,Simulation,Microsoft Game Studios,0.45,0.95,0.02,0.2,84,65,8,131,Rare Ltd.,E
Tony Hawk's American Wasteland (Old all region sales),PS2,2005,Sports,Activision,0.8,0.63,0.01,0.19,,,,,,
Kinectimals,X360,2010,Simulation,Microsoft Game Studios,1.02,0.46,0,0.13,74,50,3.1,69,Frontier Developments,E
Kirby Air Ride,GC,2003,Racing,Nintendo,1.01,0.11,0.45,0.04,61,28,7.9,69,HAL Labs,E
LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.76,0.01,0.26,83,22,7.7,262,TT Games,E10+
Sled Storm,PS,1998,Racing,Electronic Arts,0.9,0.61,0,0.11,,,,,,
Destiny,PS3,2014,Shooter,Activision,0.68,0.56,0.12,0.25,,,4.5,445,Bungie,T
Rock Band,PS3,2007,Misc,Electronic Arts,0.99,0.41,0,0.22,92,35,8.4,107,Harmonix Music Systems,T
Dragon Quest IV: Chapters of the Chosen,DS,2007,Role-Playing,Square Enix,0.3,0.02,1.27,0.03,80,44,7.9,50,ArtePiazza,E10+
NFL Street 2,PS2,2004,Sports,Electronic Arts,0.79,0.62,0,0.21,77,33,8.7,20,EA Tiburon,E
Baseball,GB,1989,Sports,Nintendo,0.66,0.27,0.65,0.03,,,,,,
Yu-Gi-Oh! Duel Monsters,GB,1998,Strategy,Konami Digital Entertainment,0,0,1.61,0.01,,,,,,
Super Mario Strikers,GC,2005,Sports,Nintendo,0.98,0.38,0.2,0.04,76,39,8.7,55,Next Level Games,E
Buzz! The Music Quiz,PS2,2005,Misc,Sony Computer Entertainment,0,1.18,0,0.43,,,,,,
Rage,X360,2011,Shooter,Bethesda Softworks,0.82,0.6,0.03,0.15,81,77,6.7,559,id Software,M
Mario Hoops 3 on 3,DS,2006,Sports,Nintendo,0.98,0.04,0.49,0.09,69,40,8,37,Square Enix,E
SpongeBob's Atlantis SquarePantis,DS,2007,Action,THQ,1.49,0,0,0.11,64,5,,,THQ,E
Dollar Dash,PS2,2005,Action,Take-Two Interactive,1.3,0.23,0,0.07,,,,,,
F-1 World Grand Prix,N64,1998,Racing,Video System,0.46,0.96,0.09,0.08,,,,,,
River Raid,2600,1981,Shooter,Activision,1.49,0.09,0,0.02,,,,,,
Just Cause 2,X360,2010,Action,Square Enix,0.59,0.83,0.02,0.17,81,74,8,267,Avalanche Studios,M
Silent Hill,PS,1999,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,86,17,9.2,326,KCET,M
Sonic Heroes,GC,2003,Platform,Sega,1.05,0.44,0.06,0.04,72,49,7.8,125,Sonic Team,E
Disney Infinity,Wii,2013,Action,Disney Interactive Studios,1.05,0.41,0,0.14,,,4.2,24,Avalanche Software,E10+
ESPN NBA 2K5,PS2,2004,Sports,Global Star,1.26,0.12,0,0.21,83,24,7.5,36,Visual Concepts,E
Diablo,PC,1996,Role-Playing,Activision,0.01,1.58,0,0,94,12,8.7,850,Blizzard Entertainment,M
Far Cry 2,X360,2008,Action,Ubisoft,0.71,0.69,0.02,0.18,85,75,6.7,288,Ubisoft Montreal,M
The Legend of Zelda: Twilight Princess,GC,2006,Action,Nintendo,1.15,0.36,0.04,0.04,96,16,9.2,568,Nintendo,T
Soul Edge,PS,1996,Fighting,Sony Computer Entertainment,0.61,0.41,0.46,0.1,,,,,,
Mario Bros.,2600,1982,Platform,Atari,1.48,0.09,0,0.02,,,,,,
Pro Evolution Soccer 2008,PS3,2007,Sports,Konami Digital Entertainment,0.04,1.1,0.32,0.13,74,19,6.1,47,Konami,E
NASCAR 2000,PS,1999,Racing,Electronic Arts,0.88,0.6,0,0.1,,,,,,
Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo,0.78,0.37,0.3,0.13,53,34,6.7,106,Genius Sonority Inc.,E
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.1,75,54,8.2,267,Square Enix,E10+
Dance Dance Revolution: Hottest Party 2,Wii,2008,Simulation,Konami Digital Entertainment,0.94,0.48,0.01,0.15,69,8,6.8,6,Konami,E10+
SoulCalibur IV,X360,2008,Fighting,Ubisoft,0.92,0.43,0.07,0.15,85,62,7.9,157,Namco,T
Jampack Summer 2K,PS,2000,Misc,Sony Computer Entertainment,0.88,0.6,0,0.1,,,,,,
Sonic Generations,PS3,2011,Platform,Sega,0.6,0.69,0.02,0.26,76,38,8.2,253,Sega,E
Spyro 2: Season of Flame,GBA,2002,Platform,Vivendi Games,0.85,0.65,0,0.08,76,18,7.6,13,Digital Eclipse,E
Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.53,0.24,0.12,66,66,6.5,279,"Nintendo, Nd Cube",E
Devil May Cry 4,PS3,2008,Action,Capcom,0.58,0.45,0.34,0.2,84,63,8.2,311,Capcom,M
Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,78,69,6.8,908,Capcom Vancouver,M
Pro Evolution Soccer 2010,PS2,2009,Sports,Konami Digital Entertainment,0.1,0.18,0.12,1.16,,,8.1,15,Konami,E
NCAA Football 2002,PS2,2001,Sports,Electronic Arts,0.77,0.6,0,0.2,90,18,8.7,24,EA Sports,E
Gears of War: Judgment,X360,2013,Shooter,Microsoft Game Studios,0.92,0.5,0.03,0.12,79,81,5.4,779,Epic Games,M
Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0,0.14,78,15,5.8,712,Ubisoft Montreal,M
Guitar Hero: On Tour Decades,DS,2008,Misc,Activision,0.84,0.57,0,0.16,72,40,8,5,Vicarious Visions,E10+
FIFA 16,X360,2015,Sports,Electronic Arts,0.57,0.88,0,0.12,,,2.9,45,EA Sports,E
Madden NFL 15,XOne,2014,Sports,Electronic Arts,1.31,0.09,0,0.16,80,19,6.4,138,EA Sports,E
Conflict: Desert Storm,PS2,2002,Shooter,Gotham Games,0.98,0.53,0,0.06,55,10,8.6,45,Pivotal Games,T
Mario Party 7,GC,2005,Misc,Nintendo,0.95,0.11,0.46,0.04,64,25,7.9,53,Hudson,E
Dragon Quest V: Hand of the Heavenly Bride,DS,2008,Role-Playing,Square Enix,0.17,0.02,1.36,0.02,84,46,8.5,57,ArtePiazza,E10+
High School Musical 3: Senior Year,DS,2008,Misc,Disney Interactive Studios,0.63,0.76,0,0.17,,,,,,
Smuggler's Run,PS2,2000,Racing,Take-Two Interactive,0.77,0.6,0,0.2,79,21,6.8,18,Rockstar San Diego,T
Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1.07,0.4,0,0.1,84,32,8.1,41,EA Chicago,T
Need for Speed: Most Wanted,X360,2012,Racing,Electronic Arts,0.62,0.78,0.01,0.15,83,54,8.5,134,EA Canada,T
Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive,0.86,0.54,0,0.15,38,10,5.7,7,Cat Daddy Games,E
Donkey Kong Classics,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,,,,,,
Hannah Montana: Music Jam,DS,2007,Action,Disney Interactive Studios,1.05,0.36,0,0.15,,,,,,
Twisted Metal,PS,1995,Action,Sony Computer Entertainment,1.32,0.19,0,0.05,,,,,,
Final Fight,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03,,,,,,
Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.57,0.43,0.44,0.12,54,26,9,133,ChunSoft,E
Dragon Quest Monsters 2,GB,2001,Role-Playing,Enix Corporation,0,0,1.56,0,,,,,,
Pokemon Pinball: Ruby & Sapphire,GBA,2003,Misc,Nintendo,0.68,0.38,0.44,0.05,,,,,,
MySims Kingdom,DS,2008,Simulation,Electronic Arts,0.8,0.59,0.01,0.16,58,9,,,TOSE,E
LEGO Pirates of the Caribbean: The Video Game,Wii,2011,Action,Disney Interactive Studios,0.73,0.67,0,0.15,73,14,7,13,Traveller's Tales,E10+
Stuntman,PS2,2002,Racing,Atari,0.76,0.59,0,0.2,71,37,5.7,36,Reflections Interactive,T
Tom Clancy's Rainbow Six 3,XB,2003,Shooter,Ubisoft,0.91,0.57,0,0.07,86,39,8.5,31,Ubisoft,M
LEGO Harry Potter: Years 1-4,X360,2010,Action,Warner Bros. Interactive Entertainment,0.95,0.46,0,0.14,79,58,8,62,Traveller's Tales,E10+
007: The World is not Enough,N64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03,,,,,,
Spider-Man 2: Enter: Electro,PS,2001,Action,Activision,0.57,0.87,0.02,0.09,74,15,8.7,35,Vicarious Visions,E
Guitar Hero 5,Wii,2009,Misc,Activision,0.92,0.48,0,0.15,89,25,6.9,49,Vicarious Visions,T
Command & Conquer: Tiberian Sun,PC,1999,Strategy,Westwood Studios,1.55,0,0,0,,,,,,
Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.24,79,73,8.1,1116,MachineGames,M
Mafia II,X360,2010,Action,Take-Two Interactive,0.85,0.55,0,0.15,74,79,7.8,458,2K Czech,M
Moshi Monsters: Moshling Zoo,DS,2011,Misc,Activision,0.37,0.96,0,0.21,,,,,Mind Candy,E
BioShock 2,PS3,2010,Shooter,Take-Two Interactive,0.85,0.46,0.02,0.22,88,62,8.2,492,2K Marin,M
Dark Cloud,PS2,2000,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,80,27,8.2,99,Level 5,T
Warcraft III: The Frozen Throne,PC,2003,Strategy,Activision,0.58,0.87,0,0.09,88,23,9,713,Blizzard Entertainment,T
Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.78,0.43,0.19,0.14,69,6,8.1,14,h.a.n.d. Inc.,E
Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Shooter,Ubisoft,1.4,0.02,0.02,0.1,90,78,8,215,Ubisoft Paris,T
Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.5,0.76,0.04,0.24,,,,,,
MVP Baseball 2005,PS2,2005,Sports,Electronic Arts,1.26,0.07,0,0.21,87,25,8.6,47,EA Sports,E
Die Hard Trilogy,PS,1996,Shooter,Fox Interactive,0.85,0.58,0,0.1,,,,,,
Uncharted: Golden Abyss,PSV,2011,Shooter,Sony Computer Entertainment,0.53,0.66,0.13,0.22,80,80,7.4,770,"Naughty Dog, Sony Bend",T
Go Vacation,Wii,2011,Misc,Namco Bandai Games,0.42,0.65,0.33,0.14,64,28,7.8,13,Namco Bandai Games,E10+
Pro Evolution Soccer 2013,PS3,2012,Sports,Konami Digital Entertainment,0.18,0.63,0.49,0.24,82,37,6.7,146,Konami,E
Mortal Kombat 3,SNES,1994,Fighting,Acclaim Entertainment,1.19,0.29,0,0.05,,,,,,
NFL GameDay 99,PS,1998,Sports,989 Studios,1.44,0.05,0,0.04,,,,,,
Dishonored,PS3,2012,Action,Bethesda Softworks,0.72,0.52,0.04,0.25,89,35,7.9,781,Arkane Studios,M
Mario Golf: Toadstool Tour,GC,2003,Sports,Nintendo,1.09,0.15,0.25,0.04,81,49,8,56,Camelot Software Planning,E
Tiger Woods 99 PGA Tour Golf,PS,1997,Sports,Electronic Arts,0.85,0.58,0,0.1,,,,,,
Call of Duty: Black Ops II,PC,2012,Shooter,Activision,0.64,0.69,0,0.19,74,11,4.2,1635,Treyarch,M
Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.67,0.43,0.29,0.14,75,47,7.6,122,Cavia Inc.,M
Knockout Kings,PS,1997,Fighting,Electronic Arts,1.07,0.39,0,0.06,,,,,,
The Simpsons Skateboarding,PS2,2002,Sports,Electronic Arts,0.36,0.9,0,0.27,38,21,5,26,The Code Monkeys,T
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.7,0.55,0.16,0.12,83,77,8.9,712,Retro Studios,E
NASCAR 98,PS,1996,Racing,Electronic Arts,1.43,0.05,0,0.04,,,,,,
Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,,,,,,
F1 Race,NES,1984,Racing,Nintendo,0,0,1.52,0,,,,,,
NASCAR 99,PS,1998,Racing,Electronic Arts,1.45,0.04,0,0.04,,,,,,
Final Fantasy XIV: A Realm Reborn,PC,2010,Role-Playing,Square Enix,0.88,0.48,0,0.17,,,,,,
NBA Live 2000,PS,1998,Sports,Electronic Arts,1.43,0.05,0,0.03,,,,,,
Fight Night Round 4,PS3,2009,Fighting,Electronic Arts,0.92,0.4,0,0.2,88,46,7.6,95,EA Canada,T
Super Monkey Ball 2,GC,2002,Puzzle,Atari,1.11,0.31,0.06,0.04,87,34,8.5,51,Amusement Vision,E
Pac-Man World 2,PS2,2002,Action,Namco Bandai Games,1.26,0.05,0,0.21,73,19,7.8,26,Namco,E
Disney Fairies: Tinker Bell,DS,2008,Adventure,Disney Interactive Studios,0.85,0.51,0.01,0.15,,,7.8,5,"Genius Sonority Inc., Disney Interactive Studios",E
MySims Kingdom,Wii,2008,Simulation,Electronic Arts,0.7,0.64,0.01,0.16,76,19,8.1,24,EA Redwood Shores,E
Dead Space 2,X360,2011,Shooter,Electronic Arts,0.94,0.44,0,0.13,90,83,8.6,679,Visceral Games,M
Puzzle & Dragons,3DS,2013,Role-Playing,GungHo,0,0,1.51,0,,,,,,
Call of Duty: Modern Warfare: Reflex Edition,Wii,2009,Shooter,Activision,0.94,0.43,0,0.14,,,,,,
Mega Man 2,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,,,,,,
Simpsons Wrestling,PS,2001,Fighting,Electronic Arts,0.23,1.16,0,0.11,,,,,,
NBA Live 98,PS,1997,Sports,Electronic Arts,1.41,0.06,0,0.04,,,,,,
The Simpsons Game,PS2,2007,Action,Electronic Arts,0.35,0.03,0,1.13,68,10,8.2,27,Electronic Arts,T
Monopoly,PS,1997,Misc,Hasbro Interactive,1.18,0.27,0,0.05,,,,,,
The Simpsons Game,DS,2007,Action,Electronic Arts,0.56,0.77,0,0.17,69,17,7.3,18,Griptonite Games,T
Football Manager 2012,PC,2011,Sports,Sega,0.02,1.16,0,0.33,84,45,8,172,Sports Interactive,E
Ni no Kuni: Wrath of the White Witch,PS3,2011,Role-Playing,Namco Bandai Games,0.6,0.47,0.21,0.23,85,89,8.6,984,Level 5,E10+
SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,0.99,0.32,0.11,0.08,93,45,9.1,135,Namco,T
Call of Duty 3,PS3,2006,Shooter,Activision,0.6,0.62,0.03,0.26,80,43,6.9,92,Treyarch,T
Tokyo Xtreme Racer Zero,PS2,2000,Racing,Crave Entertainment,0.66,0.52,0.15,0.17,76,15,8.9,64,Genki,E
NFL Blitz,PS,1998,Sports,Midway Games,1.41,0.05,0,0.04,,,,,,
Red Faction II,PS2,2002,Shooter,THQ,0.49,0.78,0,0.23,84,30,8.3,35,Volition Inc.,M
Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2,91,25,7.7,7,EA Sports,E
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,0,0,1.5,0,,,,,,
WWF No Mercy,N64,2000,Fighting,THQ,1.2,0.27,0.02,0.02,,,,,,
Ice Climber,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,,,,,,
Sonic CD,SCD,1993,Platform,Sega,1,0.36,0.09,0.05,,,,,,
Star Wars: The Force Unleashed II,PS3,2010,Action,LucasArts,0.8,0.49,0,0.21,63,41,6.8,121,LucasArts,T
Pac-Man World,PS,1998,Action,Namco Bandai Games,1.21,0.14,0.1,0.04,,,,,,
Rock Band 2,PS3,2008,Misc,MTV Games,1.13,0.2,0,0.16,91,24,7.9,88,Harmonix Music Systems,T
Final Fantasy: Crystal Chronicles,GC,2003,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,80,55,8.1,94,Square Enix,T
Medal of Honor: Frontline,XB,2002,Shooter,Electronic Arts,1,0.43,0,0.06,81,18,6.9,23,EA LA,T
Madden NFL 09,PS2,2008,Sports,Electronic Arts,1.22,0,0,0.27,67,4,7,24,EA Tiburon,E
Dead Rising 2,X360,2010,Action,Capcom,0.75,0.52,0.09,0.12,79,76,6.9,216,Blue Castle Games,M
Banjo-Tooie,N64,2000,Platform,Nintendo,0.82,0.36,0.25,0.06,,,,,,
Buzz! The BIG Quiz,PS2,2006,Misc,Sony Computer Entertainment,0,1.1,0,0.39,,,,,,
Mafia II,PS3,2010,Action,Take-Two Interactive,0.5,0.69,0.04,0.26,75,61,7.7,297,2K Czech,M
Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0,0.14,85,16,6.6,694,Rocksteady Studios,M
Doom (2016),PS4,2016,Shooter,Bethesda Softworks,0.54,0.69,0.02,0.24,,,,,,
Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,0.47,0.37,0.52,0.12,57,51,6.9,103,Square Enix,T
WWF WrestleMania 2000,N64,1999,Fighting,THQ,1.2,0.25,0.02,0.02,,,,,,
Wario Land II,GB,1997,Platform,Nintendo,0.7,0.35,0.39,0.04,,,,,,
Nintendo World Cup,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,,,,,,
Sonic Rivals 2,PSP,2007,Racing,Sega,0.44,0.67,0,0.37,60,24,7.8,35,Backbone Entertainment,E
Bratz: Forever Diamondz,DS,2006,Adventure,THQ,0.43,0.88,0,0.18,,,6.5,4,Barking Lizards,E
Resistance 3,PS3,2011,Shooter,Sony Computer Entertainment,0.64,0.57,0.05,0.22,83,91,7.8,543,Insomniac Games,M
Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,0.99,0.35,0,0.13,68,12,5.5,4,Altron,E
